ANIO,CVE_ENT,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_ANIO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_ANIO,NAC,POB_MIT_ANIO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMIH,TMIM,TMI,TEF_ADO,TGF
2020,0,1375102,-177638,1197464,776256,28.45,698742,314423,72.37,78.11,75.23,62567626,29.62,698742,136785,0,-177638,65224660,2151358,127792286,3279593,3281686,5452680,16154979,34533408,7544688,5373694,3224331,27526664,6515977,5358231,3398396,3392818,5619968,16397187,33115635,7690013,5462863,3342650,24987746,6754694,4405327,6677989,6674504,11072648,32552166,67649043,15234701,10836557,6566981,52514410,13270671,9763558,11.48,38.75,50.23,6.07,16.83,1.08,-0.14,0.94,0.55,0.55,0,-0.14,14.08,11.45,12.8,68.53,2.05
2021,0,1342462,-179577,1162885,791489,29,693673,317765,72.49,78.24,75.35,63139259,30.88,693673,138188,0,-179577,65833180,2133951,128972439,3270969,3279308,5451509,16152778,34738104,7539019,5366818,3202476,28003516,6498933,5564409,3388959,3392329,5624910,16417826,33373639,7689174,5456593,3320885,25446903,6737802,4570712,6659928,6671637,11076419,32570604,68111743,15228193,10823411,6523361,53450419,13236735,10135121,11.78,38.15,49.93,6.14,16.55,1.04,-0.14,0.9,0.54,0.54,0,-0.14,13.74,11.16,12.48,67.69,2.03
2022,0,1310395,-181439,1128956,806380,29,688381,320758,72.62,78.38,75.49,63692767,32.23,688381,139319,0,-181439,66425589,2116775,130118356,3262263,3272477,5446970,16140954,34922196,7539755,5365262,3178529,28466805,6479191,5782187,3380367,3385384,5623888,16420759,33614558,7694840,5456336,3296453,25901017,6718177,4745111,6642630,6657861,11070858,32561713,68536754,15234595,10821598,6474982,54367822,13197368,10527298,12.11,37.57,49.68,6.2,16.27,1.01,-0.14,0.87,0.53,0.53,0,-0.14,13.36,10.85,12.13,66.92,2.01
2023,0,1278103,-183229,1094874,821706,29.55,682842,323424,72.76,78.52,75.63,64228297,33.66,682842,140195,0,-183229,67001958,2099809,131230255,3253415,3263885,5439278,16123378,35088462,7543002,5367609,3153786,28913597,6454798,6011402,3372136,3375793,5617330,16412749,33842429,7703234,5461697,3270912,26344739,6693773,4928167,6625551,6639678,11056608,32536127,68930891,15246236,10829306,6424698,55258336,13148571,10939569,12.46,37.01,49.47,6.26,16,0.97,-0.14,0.83,0.52,0.52,0,-0.14,12.98,10.54,11.79,66.21,1.99
2024,0,1245920,-184869,1061051,837090,30,677172,325716,72.9,78.67,75.78,64746182,35.18,677172,140847,0,-184869,67562094,2083010,132308276,3245643,3255415,5427157,16101531,35238871,7543823,5372081,3129346,29342218,6424185,6251430,3364542,3366850,5605464,16398664,34061013,7710348,5471734,3245480,26774350,6662908,5119225,6610185,6622265,11032621,32500195,69299884,15254171,10843815,6374826,56116568,13087093,11370655,12.83,36.47,49.3,6.33,15.74,0.94,-0.14,0.8,0.51,0.51,0,-0.14,12.6,10.22,11.44,65.53,1.97
2020,1,17198,1764,18962,7324,27,4579,4463,72.96,78.89,75.91,706634,23.73,8829,1977,4250,-2486,728001,24522,1434635,39360,39611,65804,191219,392641,90157,63964,37181,296835,76879,50231,40925,41087,68172,197928,382358,93466,66381,38770,269234,80456,41702,80285,80698,133976,389147,774999,183623,130345,75951,566069,157335,91933,9.62,40.57,50.19,5.11,17.09,1.2,0.12,1.32,0.319175261,0.615417859,0.296242598,-0.17,10.87,8.95,9.93,73.83,2.01
2021,1,16975,1700,18675,7527,27,4520,4508,73.06,79,76.01,715916,24.97,8729,1999,4209,-2509,737536,24502,1453452,39258,39647,65954,192376,397150,90645,64338,36894,303726,76595,52585,40873,41163,68370,199154,387853,93810,66603,38268,276193,80287,43723,80131,80810,134324,391530,785003,184455,130941,75162,579919,156882,96308,9.91,39.7,49.62,5.18,16.86,1.17,0.12,1.28,0.310983782,0.600570229,0.289586447,-0.17,10.62,8.73,9.7,72.99,1.99
2022,1,16531,1620,18151,7713,27.7,4463,4549,73.19,79.14,76.15,724980,26.3,8624,2008,4161,-2541,746879,24244,1471859,39136,39603,66010,193303,401384,91128,64721,36688,310551,76207,55088,40823,41159,68486,200055,393112,94164,66837,37958,283206,79873,45849,79959,80762,134496,393358,794496,185292,131558,74646,593757,156080,100937,10.23,38.88,49.11,5.24,16.47,1.12,0.11,1.23,0.30322198,0.58592569,0.28270371,-0.17,10.32,8.48,9.42,71.53,1.96
2023,1,16301,1564,17865,7918,28,4401,4585,73.31,79.26,76.27,733828,27.72,8523,2027,4122,-2558,756047,24219,1489875,38997,39516,65983,194036,405372,91556,65089,36510,317272,75771,57754,40775,41110,68525,200715,398173,94508,67093,37774,290205,79272,48078,79772,80626,134508,394751,803545,186064,132182,74284,607477,155043,105832,10.56,38.1,48.66,5.31,16.26,1.09,0.1,1.2,0.295393909,0.572061415,0.276667506,-0.17,10.04,8.25,9.17,70.84,1.94
2024,1,15836,1501,17337,8115,28.28,4333,4619,73.45,79.4,76.41,742455,29.22,8417,2036,4084,-2583,765019,23951,1507474,38857,39410,65864,194590,409136,91871,65417,36311,323866,75322,60567,40721,41056,68489,201195,403071,94802,67369,37569,297139,78636,50395,79578,80466,134353,395785,812207,186673,132786,73880,621005,153958,110962,10.91,37.35,48.26,5.38,15.89,1.05,0.1,1.15,0.287434476,0.558351255,0.270916779,-0.17,9.74,8,8.89,69.52,1.91
2020,2,39517,16235,55752,18424,28.74,22259,5275,72.95,79.18,75.96,1815647,25.5,31903,11866,9644,6591,1819221,57941,3634868,91045,91705,153164,464606,995116,216544,155085,89911,779735,181305,126018,93355,95170,159259,484456,1004400,226506,162417,92033,766870,183689,105479,184400,186875,312423,949062,1999516,443050,317502,181944,1546605,364994,231497,9.28,36.37,45.65,5.07,15.94,1.09,0.45,1.53,0.61237437,0.877693495,0.265319126,0.18,10.38,8.61,9.52,62.51,1.91
2021,2,38770,16061,54831,19006,29,22253,5333,73.06,79.28,76.07,1842577,26.9,31652,11995,9399,6662,1847583,57776,3690160,91183,92028,153727,467112,1006930,217388,155689,89498,798731,181914,132907,93121,95171,159431,487077,1016439,227197,162937,92258,785425,184076,111225,184304,187199,313158,954189,2023369,444585,318626,181756,1584156,365990,244132,9.62,35.76,45.38,5.15,15.66,1.05,0.44,1.49,0.603036183,0.857740586,0.254704403,0.18,10.13,8.4,9.29,61.68,1.89
2022,2,37811,15884,53695,19581,29.21,22228,5385,73.19,79.41,76.2,1868947,28.38,31404,12093,9176,6708,1875468,57392,3744415,91306,92230,154203,469173,1018080,218340,156367,89089,817533,182350,140159,92934,94987,159401,488871,1027878,227878,163464,92136,803941,184710,117349,184240,187217,313604,958044,2045958,446218,319831,181225,1621474,367060,257508,9.98,35.18,45.16,5.23,15.33,1.01,0.42,1.43,0.593630781,0.838689088,0.245058307,0.18,9.85,8.17,9.03,60.71,1.86
2023,2,37017,15671,52688,20192,29.94,22201,5427,73.31,79.53,76.32,1894752,29.96,31137,12162,8936,6735,1902858,57209,3797610,91442,92365,154603,470899,1028652,219323,157085,88714,836033,182536,147773,92815,94718,159214,490020,1038846,228479,163983,91755,822258,185451,123857,184257,187083,313817,960919,2067498,447802,321068,180469,1658291,367987,271630,10.37,34.62,44.99,5.32,15.06,0.97,0.41,1.39,0.584604528,0.819910417,0.23530589,0.18,9.57,7.96,8.79,60.02,1.84
2024,2,36017,15478,51495,20795,30,22158,5466,73.45,79.66,76.46,1919981,31.63,30874,12228,8716,6762,1929724,56812,3849705,91674,92484,154875,472349,1038706,220200,157809,88318,854151,182451,155738,92821,94469,158878,490693,1049474,228889,164480,91350,840237,185982,130734,184495,186953,313753,963042,2088180,449089,322289,179668,1694388,368433,286472,10.78,34.09,44.87,5.4,14.76,0.94,0.4,1.34,0.57557657,0.801983529,0.226406958,0.18,9.29,7.73,8.53,59.17,1.82
2020,3,10054,6454,16508,3983,28.51,6406,611,72.89,79.13,75.85,409022,23.79,12547,924,6141,313,395686,14037,804708,19776,19660,32755,99227,215277,46115,33020,20966,168291,40712,26082,20227,20521,34443,107541,229774,49923,36001,21244,174862,41054,22884,40003,40181,67198,206768,445051,96038,69021,42210,343153,81766,48966,8.9,37.43,46.33,4.95,17.44,1.25,0.8,2.05,0.796065157,1.559199113,0.763133957,0.04,11.47,9.4,10.46,69.03,2.15
2021,3,9938,6269,16207,4120,29,6505,617,73.02,79.23,75.97,417172,24.86,12458,933,5953,316,403887,14058,821059,19976,19858,33088,100368,218691,46592,33362,21109,172898,41278,27513,20340,20648,34655,108535,233618,50234,36227,21341,179959,41548,24117,40316,40506,67743,208903,452309,96826,69589,42450,352857,82826,51630,9.19,36.97,46.16,5.02,17.12,1.21,0.76,1.97,0.792269496,1.517308744,0.725039248,0.04,11.18,9.19,10.21,68.21,2.13
2022,3,9929,6096,16025,4258,29,6588,624,73.15,79.36,76.09,425190,26,12361,947,5773,323,411978,14187,837168,20174,20038,33406,101417,221942,47081,33713,21207,177455,41835,29039,20471,20749,34841,109353,237279,50542,36450,21427,185057,42023,25413,40645,40787,68247,210770,459221,97623,70163,42634,362512,83858,54452,9.5,36.53,46.03,5.09,16.95,1.19,0.73,1.91,0.786938822,1.47652562,0.689586797,0.04,10.88,8.94,9.93,67.89,2.12
2023,3,9794,5907,15701,4401,29.39,6673,628,73.27,79.47,76.21,433069,27.21,12257,951,5584,323,419957,14195,853026,20377,20212,33713,102390,225054,47566,34065,21298,181952,42333,30659,20629,20838,35017,110030,240774,50847,36668,21534,190115,42431,26777,41006,41050,68730,212420,465828,98413,70733,42832,372067,84764,57436,9.83,36.12,45.94,5.16,16.64,1.15,0.69,1.84,0.782273928,1.436884691,0.654610762,0.04,10.58,8.71,9.67,67.1,2.1
2024,3,9770,5726,15496,4542,29.99,6761,629,73.41,79.6,76.35,440813,28.49,12159,957,5398,328,427809,14312,868622,20612,20392,34002,103298,228036,48016,34406,21383,186362,42745,32372,20825,20935,35181,110613,244146,51131,36885,21632,195105,42777,28211,41437,41327,69183,213911,472182,99147,71291,43015,381467,85522,60583,10.18,35.72,45.89,5.23,16.48,1.12,0.66,1.78,0.778359286,1.399803367,0.62144408,0.04,10.26,8.46,9.38,66.85,2.09
2020,4,12105,4411,16516,5784,28,5736,522,71.91,77.83,74.78,494604,25.53,10063,606,4327,84,506013,17889,1000617,25458,25315,42212,129121,274266,59836,42939,26943,210126,52630,35490,25906,25672,42659,129653,267034,60018,43031,27553,198583,53501,32263,51364,50987,84871,258774,541300,119854,85970,54496,408709,106131,67753,10.15,39.76,49.91,5.78,17.88,1.21,0.44,1.65,0.573246307,1.005679496,0.432433189,0.01,15,12.13,13.6,79.17,2.11
2021,4,11900,4376,16276,5903,28,5736,526,72.03,77.98,74.92,502774,26.45,10026,612,4290,86,514237,17803,1017011,25638,25448,42400,129607,277966,59927,42975,26808,215576,53245,37132,26127,25852,42941,130303,271143,60132,43043,27547,204013,54183,33468,51765,51300,85341,259910,549109,120059,86018,54355,419589,107428,70600,10.39,39.28,49.67,5.8,17.51,1.17,0.43,1.6,0.564005699,0.985830045,0.421824346,0.01,14.64,11.81,13.26,78,2.09
2022,4,11823,4344,16167,6019,28.59,5727,534,72.2,78.12,75.08,510847,27.44,9987,618,4260,84,522376,17842,1033223,25838,25580,42614,130030,281528,60086,43052,26714,220973,53740,38874,26380,26022,43237,130843,275139,60333,43118,27513,209462,54796,34742,52218,51602,85851,260873,556667,120419,86170,54227,430435,108536,73616,10.65,38.81,49.46,5.83,17.27,1.14,0.42,1.56,0.55428499,0.966587078,0.412302088,0.01,14.2,11.48,12.87,77.51,2.08
2023,4,11588,4305,15893,6154,29,5722,538,72.32,78.26,75.21,518825,28.49,9942,623,4220,85,530419,17742,1049244,26066,25728,42855,130427,284969,60296,43169,26705,226283,54048,40714,26660,26204,43548,131344,279055,60608,43264,27508,214883,55267,36080,52726,51932,86403,261771,564024,120904,86433,54213,441166,109315,76794,10.92,38.34,49.27,5.87,16.91,1.1,0.41,1.51,0.545345029,0.947539371,0.402194342,0.01,13.82,11.16,12.52,76.44,2.05
2024,4,11490,4273,15763,6283,29,5710,542,72.49,78.41,75.37,526696,29.62,9899,626,4189,84,538375,17773,1065071,26346,25902,43110,130829,288308,60533,43325,26683,231492,54237,42652,26974,26421,43873,131855,282924,60932,43480,27489,220235,55617,37479,53320,52323,86983,262684,571232,121465,86805,54172,451727,109854,80131,11.22,37.87,49.08,5.9,16.69,1.08,0.4,1.48,0.536114494,0.929421607,0.393307113,0.01,13.38,10.82,12.13,75.99,2.04
2020,5,43161,-199,42962,18036,28,12416,3805,72.7,78.86,75.69,1605417,26.32,13108,2914,692,-891,1613303,61197,3218720,81812,81395,135136,394098,837856,185421,131680,88270,669657,167413,122740,85885,85645,142129,413497,837718,194963,138479,92015,638870,175393,107004,167697,167040,277265,807595,1675574,380384,270159,180285,1308527,342806,229744,10.86,41.25,52.1,5.6,19.01,1.34,-0.01,1.33,0.385743401,0.407242631,0.02149923,-0.03,10.57,8.76,9.69,94.31,2.41
2021,5,42299,-196,42103,18496,28,12270,3850,72.81,78.98,75.8,1626244,27.37,12983,2941,713,-909,1635015,60795,3261259,81968,81499,135396,395945,844070,186098,132201,89140,681597,168801,128391,86008,85720,142388,415467,845344,195526,138858,92755,650858,176850,111692,167976,167219,277784,811412,1689414,381624,271059,181895,1332455,345651,240083,11.2,40.92,52.12,5.67,18.64,1.3,-0.01,1.29,0.376235068,0.39809779,0.021862722,-0.03,10.31,8.54,9.45,92.94,2.38
2022,5,42004,-176,41828,18938,28.28,12117,3882,72.93,79.12,75.93,1646750,28.47,12855,2968,738,-914,1656470,60942,3303220,82208,81542,135600,397487,849853,186806,132748,89382,693341,170672,134355,86253,85700,142549,416947,852638,196124,139275,92926,662830,178714,116618,168461,167242,278149,814434,1702491,382930,272023,182308,1356171,349386,250973,11.56,40.62,52.18,5.73,18.45,1.27,-0.01,1.27,0.366823887,0.389165723,0.022341836,-0.03,10.02,8.3,9.18,92.47,2.37
2023,5,41136,-159,40977,19402,28.82,11951,3914,73.08,79.24,76.07,1666965,29.62,12720,2986,769,-928,1677656,60538,3344621,82539,81615,135797,398835,855328,187471,133289,89254,704829,172714,140618,86612,85708,142673,418123,859764,196685,139720,92795,674690,180665,121783,169151,167323,278470,816958,1715092,384156,273009,182049,1379519,353379,262401,11.95,40.33,52.27,5.8,18.1,1.23,0,1.23,0.357320007,0.380312149,0.022992142,-0.03,9.73,8.07,8.92,91.22,2.34
2024,5,40811,-147,40664,19857,29,11793,3948,73.21,79.38,76.2,1686879,30.84,12593,3001,800,-947,1698567,60668,3385446,83010,81777,135987,400041,860595,188006,133796,89121,716027,174492,147178,87112,85839,142801,419144,866856,197155,140193,92656,686334,182343,127167,170122,167616,278788,819185,1727451,385161,273989,181777,1402361,356835,274345,12.35,40.04,52.39,5.87,17.92,1.21,0,1.2,0.348344059,0.371974623,0.023630564,-0.03,9.44,7.83,8.65,90.8,2.33
2020,6,8903,3316,12219,4550,28.86,4721,1865,73.14,77.96,75.52,390858,28.28,8586,1316,3865,-549,394295,13453,785153,19122,19235,32148,98138,211979,45618,32705,19929,168186,38680,30457,20526,20376,33784,100619,208869,46766,33358,21068,159933,41626,26484,39648,39611,65932,198757,420848,92384,66063,40997,328119,80306,56941,10.81,38.21,49.02,5.8,17.13,1.13,0.42,1.56,0.601284081,1.093544825,0.492260744,-0.07,11.46,9.28,10.4,67.53,2.09
2021,6,8713,3247,11960,4661,29,4700,1889,73.26,78.07,75.63,397061,29.42,8506,1330,3806,-559,400184,13374,797245,19216,19305,32247,98344,214171,45647,32705,19993,172030,39053,31823,20668,20566,34104,101255,211839,47010,33472,21028,163914,41992,27663,39884,39871,66351,199599,426010,92657,66177,41021,335944,81045,59486,11.11,37.76,48.87,5.85,16.78,1.09,0.41,1.5,0.589530195,1.06692422,0.477394026,-0.07,11.18,9.06,10.14,66.58,2.07
2022,6,8593,3193,11786,4765,29.19,4677,1909,73.38,78.24,75.77,403139,30.63,8433,1346,3756,-563,405976,13358,809115,19325,19367,32352,98502,216238,45725,32740,19975,175796,39445,33273,20815,20722,34404,101819,214707,47327,33645,20960,167863,42305,28902,40140,40089,66756,200321,430945,93052,66385,40935,343659,81750,62175,11.43,37.31,48.74,5.89,16.51,1.06,0.39,1.46,0.578038969,1.042249866,0.464210897,-0.07,10.88,8.77,9.85,66.12,2.05
2023,6,8397,3121,11518,4882,29.86,4646,1922,73.51,78.36,75.9,409098,31.93,8343,1346,3697,-576,411673,13279,820771,19451,19437,32470,98645,218207,45836,32803,19919,179471,39792,34801,20972,20858,34678,102354,217495,47695,33875,20898,171747,42522,30199,40423,40295,67148,200999,435702,93531,66678,40817,351218,82314,65000,11.77,36.86,48.63,5.95,16.18,1.02,0.38,1.4,0.566053138,1.016483282,0.450430144,-0.07,10.58,8.53,9.58,65.26,2.03
2024,6,8264,3066,11330,4998,30,4613,1931,73.64,78.5,76.03,414932,33.31,8252,1358,3639,-573,417265,13262,832197,19597,19523,32593,98795,220088,45955,32885,19856,183032,40060,36397,21145,20993,34923,102893,220223,48089,34159,20827,175539,42649,31547,40742,40516,67516,201688,440311,94044,67044,40683,358571,82709,67944,12.13,36.41,48.54,6.01,15.94,0.99,0.37,1.36,0.554315865,0.991592135,0.43727627,-0.07,10.27,8.27,9.3,64.77,2.02
2020,7,99733,-17096,82637,29867,24,26036,6631,71.62,77.05,74.3,2803672,17.76,11718,3853,-14318,-2778,2926695,129600,5730367,172835,166191,272588,771517,1528707,361375,254978,186407,1075397,363512,170478,176594,168711,275001,754662,1419199,355327,249037,192001,958715,371768,156780,349429,334902,547589,1526179,2947906,716702,504015,378408,2034112,735280,327258,9.19,51.76,60.95,5.21,22.62,1.74,-0.3,1.44,0.454351353,0.20448952,-0.249861833,-0.05,21.39,17.39,19.44,84.85,2.69
2021,7,98691,-17331,81360,30426,24,26157,6708,71.75,77.19,74.44,2842785,18.38,11637,3897,-14520,-2811,2969590,129117,5812375,174343,167624,274945,776265,1549288,363239,255918,185550,1102939,366353,177590,178035,170262,277825,760805,1439788,357865,250302,191756,981810,374707,162500,352378,337886,552770,1537070,2989076,721104,506220,377306,2084749,741060,340090,9.39,51.09,60.48,5.23,22.21,1.7,-0.3,1.4,0.450022581,0.200210757,-0.249811824,-0.05,20.89,16.98,18.98,83.6,2.66
2022,7,98491,-17553,80938,30970,24.47,26269,6764,71.89,77.34,74.59,2881435,19.04,11551,3929,-14718,-2835,3012085,129461,5893520,175900,168953,277335,780901,1569322,365637,257255,185071,1130215,368310,185152,179555,171566,280465,766536,1460055,360907,252008,191545,1004970,377120,168535,355455,340519,557800,1547437,3029377,726544,509263,376616,2135185,745430,353687,9.6,50.43,60.04,5.25,21.97,1.67,-0.3,1.37,0.445726832,0.195994923,-0.249731909,-0.05,20.35,16.52,18.48,82.96,2.64
2023,7,97475,-17792,79683,31521,25,26395,6829,72.04,77.51,74.75,2919648,19.76,11481,3951,-14914,-2878,3054190,128996,5973838,177457,170332,279744,785664,1588928,368402,258990,185112,1157053,369208,193175,181088,172861,282922,772197,1480176,364245,254184,191598,1027951,378749,174890,358545,343193,562666,1557861,3069104,732647,513174,376710,2185004,747957,368065,9.83,49.77,59.61,5.28,21.59,1.63,-0.3,1.33,0.441843251,0.192188004,-0.249655247,-0.05,19.81,16.05,17.98,81.86,2.61
2024,7,97267,-18019,79248,32099,25,26502,6875,72.19,77.67,74.91,2957415,20.52,11389,3969,-15113,-2906,3095894,129366,6053309,179042,171825,282098,790611,1608148,371331,261058,185121,1183369,369591,201639,182620,174289,285230,777959,1500266,367713,256772,191621,1050609,379885,181535,361662,346114,567328,1568570,3108414,739044,517830,376742,2233978,749476,383174,10.08,49.11,59.19,5.3,21.37,1.61,-0.3,1.31,0.43781013,0.188145029,-0.249665101,-0.05,19.26,15.59,17.47,81.3,2.59
