ANIO,CVE_ENT,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_ANIO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_ANIO,NAC,POB_MIT_ANIO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMIH,TMIM,TMI,TEF_ADO,TGF
2022,24,28559,-9945,18614,19716,28.72,13062,10779,72.53,77.84,75.18,1417384,33.7,10558,3338,-2504,-7441,1487268,48275,2904652,75385,76239,126811,368171,774931,173305,122733,72814,618669,146222,134722,77502,78240,129872,370358,733435,175126,123494,75524,553163,151011,115898,152887,154479,256683,738529,1508366,348431,246227,148338,1171832,297233,250620,13.12,38.93,52.05,6.79,16.62,0.98,-0.34,0.64,0.449692424,0.363485884,-0.08620654,-0.26,11.97,9.7,10.86,66.33,2.04
2023,24,27886,-9861,18025,19972,29,12784,10874,72.66,77.99,75.32,1426042,34.96,10446,3351,-2338,-7523,1496921,47858,2922963,74593,75544,125909,367232,777842,173082,122717,72172,627688,145645,138982,76753,77514,128972,369516,737537,174950,123492,74862,561894,150613,119184,151346,153058,254881,736748,1515379,348032,246209,147034,1189582,296258,258166,13.4,38.34,51.74,6.83,16.37,0.95,-0.34,0.62,0.437364414,0.357377086,-0.079987328,-0.26,11.64,9.41,10.55,65.99,2.02
2024,24,27050,-9706,17344,20222,29.12,12504,10933,72.8,78.14,75.47,1434377,36.29,10358,3373,-2146,-7560,1506274,47272,2940651,73810,74847,124832,366012,780332,172653,122668,71525,636386,145118,143503,76016,76808,127895,368369,741358,174598,123511,74187,570414,150241,122651,149826,151655,252727,734381,1521690,347251,246179,145712,1206800,295359,266154,13.71,37.78,51.49,6.88,16.08,0.92,-0.33,0.59,0.425211968,0.35223493,-0.072977038,-0.26,11.28,9.11,10.22,65.4,1.99
2020,25,30360,-5088,25272,20246,29,22021,4076,72.13,78.29,75.13,1568423,32.78,18123,2886,-3898,-1190,1588251,50606,3156674,79925,80895,134662,394399,832367,185842,132075,75760,669499,155401,138906,84282,85258,141726,412672,828464,195002,138534,78640,632555,163479,119722,164207,166153,276388,807071,1660831,380844,270609,154400,1302054,318880,258628,12.26,37.41,49.67,6.41,16.03,0.96,-0.16,0.8,0.697601336,0.574116934,-0.123484402,-0.04,12.8,10.45,11.65,67.94,2.01
2021,25,29667,-5057,24610,20635,29.01,21859,4108,72.26,78.42,75.26,1580461,34.24,17997,2913,-3862,-1195,1601148,50302,3181609,79350,80565,134266,394353,836422,185698,131997,75099,679832,154385,144265,83682,85000,141486,413270,834094,194931,138445,77778,643220,162144,123805,163032,165565,275752,807623,1670516,380629,270442,152877,1323052,316529,268070,12.58,36.74,49.32,6.49,15.81,0.93,-0.16,0.77,0.687042311,0.565657188,-0.121385123,-0.04,12.47,10.19,11.36,67,1.99
2022,25,28889,-5034,23855,21027,29.73,21698,4149,72.4,78.56,75.4,1592125,35.78,17877,2936,-3821,-1213,1613713,49916,3205838,78774,80090,133715,393906,839938,185578,131953,74514,689911,153328,149900,83094,84540,141034,413223,839233,194887,138393,77118,653870,160641,128115,161868,164630,274749,807129,1679171,380465,270346,151632,1343781,313969,278015,12.93,36.12,49.05,6.56,15.57,0.9,-0.16,0.74,0.676827712,0.557638908,-0.119188805,-0.04,12.11,9.9,11.04,66.07,1.97
2023,25,28187,-5009,23178,21422,30,21530,4187,72.53,78.7,75.54,1603408,37.41,17755,2953,-3775,-1234,1625949,49609,3229357,78206,79542,133021,393144,842991,185385,131906,73999,699667,152228,155803,82513,83965,140381,412698,843993,194790,138374,76589,664366,159042,132632,160719,163507,273402,805842,1686984,380175,270280,150588,1364033,311270,288435,13.29,35.53,48.83,6.63,15.36,0.87,-0.16,0.72,0.666696188,0.549799852,-0.116896336,-0.04,11.77,9.62,10.72,65.37,1.95
2024,25,27394,-4981,22413,21816,30.21,21345,4214,72.68,78.85,75.69,1614321,39.11,17607,2971,-3738,-1243,1637837,49210,3252158,77674,78980,132183,392113,845630,185021,131818,73511,709053,151110,161960,81928,83375,139547,411826,848485,194559,138387,76086,674604,157457,137354,159602,162355,271730,803939,1694115,379580,270205,149597,1383657,308567,299314,13.68,34.98,48.66,6.71,15.13,0.84,-0.15,0.69,0.656333425,0.54139436,-0.114939065,-0.04,11.4,9.32,10.39,64.61,1.93
2020,26,31577,4993,36570,18069,29,11746,4425,72.39,78.58,75.38,1528688,29.7,15863,5301,4117,876,1546057,49646,3074745,78817,78856,131063,386681,819337,181174,128967,75762,651684,156213,123591,81056,81639,135524,396404,816636,186077,132192,77664,631458,158685,107353,159873,160495,266587,783085,1635973,367251,261159,153426,1283142,314898,230944,11.18,37.63,48.81,5.88,16.15,1.03,0.16,1.19,0.382015419,0.515912702,0.133897283,0.03,11.83,9.7,10.79,62.05,2
2021,26,31196,4998,36194,18502,29,11654,4476,72.52,78.71,75.52,1546538,31.2,15770,5358,4116,882,1564581,49698,3111119,78758,79016,131403,388412,827303,181794,129407,74772,664232,155902,129447,80757,81657,135784,398308,825110,186812,132685,77308,643941,158208,112206,159515,160673,267187,786720,1652413,368606,262092,152080,1308173,314110,241653,11.54,36.97,48.51,5.95,15.97,1,0.16,1.16,0.374591907,0.506891572,0.132299665,0.03,11.52,9.45,10.51,61.18,1.98
2022,26,30389,4998,35387,18967,29.48,11551,4518,72.64,78.85,75.65,1564067,32.77,15673,5394,4122,876,1582827,49356,3146894,78668,79056,131638,389806,834806,182488,129906,74160,676604,155170,135581,80461,81478,135813,399664,833093,187571,133236,76980,656394,157703,117281,159129,160534,267451,789470,1667899,370059,263142,151140,1332998,312873,252862,11.91,36.35,48.27,6.03,15.68,0.97,0.16,1.12,0.367060346,0.498046645,0.1309863,0.03,11.2,9.18,10.22,59.97,1.96
2023,26,29983,4995,34978,19448,30,11447,4552,72.79,78.97,75.79,1581274,34.42,15561,5433,4114,881,1600798,49431,3182072,78556,79026,131773,390940,841892,183183,130436,73858,688744,154079,141980,80164,81199,135636,400607,840664,188251,133814,76665,668698,157191,122569,158720,160225,267409,791547,1682556,371434,264250,150523,1357442,311270,264549,12.31,35.76,48.07,6.11,15.53,0.94,0.16,1.1,0.359734161,0.48902099,0.129286829,0.03,10.87,8.93,9.92,59.38,1.95
2024,26,29192,4980,34172,19911,30,11337,4583,72.93,79.12,75.93,1598166,36.14,15451,5449,4114,866,1618485,49103,3216651,78464,78963,131766,391830,848587,183765,130962,73605,700628,152884,148618,79889,80907,135273,401236,847923,188758,134392,76400,680793,156618,128040,158353,159870,267039,793066,1696510,372523,265354,150005,1381421,309502,276658,12.72,35.2,47.93,6.19,15.27,0.91,0.15,1.06,0.352447312,0.480344308,0.127896996,0.03,10.54,8.66,9.62,58.4,1.92
2020,27,31893,-4125,27768,14262,28,13515,1496,72.04,78.24,75.06,1266580,24.53,9850,1036,-3665,-460,1305707,46155,2572287,67144,66176,109561,325597,705888,150926,107541,68507,549877,136927,90269,69942,68170,112276,326958,668846,152059,107953,71573,504012,143956,80268,137086,134346,221837,652555,1374734,302985,215494,140080,1053889,280883,170537,9.99,40.75,50.74,5.54,17.94,1.24,-0.16,1.08,0.525407935,0.382927722,-0.142480213,-0.02,14.23,11.54,12.92,75,2.16
2021,27,31029,-4044,26985,14575,28,13433,1513,72.16,78.35,75.19,1279635,25.63,9853,1049,-3580,-464,1320023,45604,2599658,67299,66289,109735,324995,710614,150576,107130,67894,561291,137209,94375,70330,68634,113045,327539,674565,152182,107771,70544,513872,144393,83522,137629,134923,222780,652534,1385179,302758,214901,138438,1075163,281602,177897,10.3,40.17,50.47,5.61,17.54,1.19,-0.16,1.04,0.516721815,0.379011393,-0.137710422,-0.02,13.88,11.28,12.61,73.89,2.14
2022,27,30665,-3976,26689,14882,28.53,13330,1525,72.3,78.49,75.33,1292418,26.82,9827,1052,-3503,-473,1334072,45547,2626490,67483,66375,109938,324423,714909,150477,106914,67328,572355,137249,98695,70736,69016,113798,328074,680149,152633,107851,69777,523541,144306,86981,138219,135391,223736,652497,1395058,303110,214765,137105,1095896,281555,185676,10.62,39.6,50.22,5.67,17.34,1.17,-0.15,1.02,0.507521445,0.37414953,-0.133371915,-0.02,13.49,10.97,12.26,73.63,2.13
2023,27,29819,-3893,25926,15197,29,13233,1534,72.44,78.64,75.47,1304916,28.08,9809,1065,-3424,-469,1347873,45016,2652789,67680,66487,110162,323973,718832,150555,106880,66914,583003,136937,103238,71135,69380,114518,328706,685670,153333,108195,69354,532901,143615,90625,138815,135867,224680,652679,1404502,303888,215075,136268,1115904,280552,193863,10.96,39.03,50,5.73,16.97,1.12,-0.15,0.98,0.498833492,0.369761787,-0.129071705,-0.02,13.1,10.65,11.91,72.66,2.11
2024,27,29477,-3840,25637,15514,29,13129,1551,72.58,78.78,75.62,1317145,29.43,9772,1068,-3357,-483,1361419,44991,2678564,67888,66653,110386,323677,722431,150722,106989,66506,593203,136423,107994,71502,69773,115186,329511,691185,154198,108785,68934,541888,142682,94456,139390,136426,225572,653188,1413616,304920,215774,135440,1135091,279105,202450,11.32,38.46,49.78,5.79,16.8,1.1,-0.14,0.96,0.490150693,0.364822345,-0.125328348,-0.02,12.71,10.34,11.55,72.47,2.1
2020,28,40343,-10911,29432,22621,29,23824,5846,72.23,78.39,75.25,1805630,30,15268,3491,-8556,-2355,1844972,62964,3650602,92979,91933,152043,439624,957205,205923,145813,92204,787368,186287,154784,96790,96381,159394,457903,944556,215518,152505,95358,740204,192201,128001,189769,188314,311437,897527,1901761,421441,298318,187562,1527572,378488,282785,11.66,38.87,50.53,6.2,17.25,1.11,-0.3,0.81,0.652604694,0.41823239,-0.234372304,-0.06,12.7,10.37,11.56,68.53,2.21
2021,28,39390,-10774,28616,23078,29.08,23560,5909,72.34,78.51,75.37,1819209,31.33,15169,3526,-8391,-2383,1860414,62468,3679623,92895,92242,152664,440745,960430,206676,146254,91487,797732,185463,160921,96370,96404,159673,458976,948682,216043,152774,94846,750386,191066,132963,189265,188646,312337,899721,1909112,422719,299028,186333,1548118,376529,293884,12.01,38.32,50.32,6.27,16.98,1.07,-0.29,0.78,0.640282986,0.412243319,-0.228039666,-0.06,12.39,10.12,11.28,67.78,2.19
2022,28,38790,-10638,28152,23526,29.69,23297,5962,72.47,78.64,75.5,1832455,32.76,15066,3555,-8231,-2407,1875553,62316,3708008,92773,92360,153119,441769,963232,207645,146886,90817,807605,184478,167429,95950,96180,159691,459619,952421,216708,153197,94261,760297,189978,138256,188723,188540,312810,901388,1915653,424353,300083,185078,1567902,374456,305685,12.38,37.79,50.16,6.34,16.81,1.05,-0.29,0.76,0.628288828,0.406309803,-0.221979025,-0.06,12.04,9.84,10.97,67.44,2.18
2023,28,37899,-10508,27391,23989,30,23025,6009,72.61,78.78,75.64,1845382,34.28,14947,3579,-8078,-2430,1890394,61888,3735776,92602,92348,153396,442737,965690,208689,147641,90222,816949,183334,174302,95512,95814,159459,459966,955896,217372,153727,93649,769824,188915,143872,188114,188162,312855,902703,1921586,426061,301368,183871,1586773,372249,318174,12.78,37.28,50.06,6.42,16.57,1.01,-0.28,0.73,0.61633781,0.400104289,-0.216233521,-0.07,11.7,9.56,10.65,66.82,2.16
2024,28,37357,-10385,26972,24430,30,22756,6050,72.76,78.92,75.78,1858007,35.89,14827,3594,-7929,-2456,1904948,61787,3762955,92378,92273,153457,443650,967879,209640,148456,89702,825752,182086,181522,95043,95422,158997,460115,959226,217898,154323,93108,778896,187812,149791,187421,187695,312454,903765,1927105,427538,302779,182810,1604648,369898,331313,13.21,36.81,50.01,6.49,16.42,0.99,-0.28,0.72,0.6047375,0.39402544,-0.21071206,-0.07,11.34,9.27,10.33,66.53,2.15
2020,29,16094,-390,15704,7916,27.71,5574,3804,72.44,78.08,75.27,672646,25.87,8029,959,2455,-2845,707365,24010,1380011,36612,36769,61021,179438,381372,83856,59604,35695,296741,71940,51643,38167,38129,63014,181502,358141,85332,60447,37320,260371,75313,43304,74779,74898,124035,360940,739513,169188,120051,73015,557112,147253,94947,10.34,39.98,50.32,5.74,17.4,1.17,-0.03,1.14,0.403909824,0.581806957,0.177897133,-0.21,15.13,12.2,13.7,71.45,2.06
2021,29,15770,-400,15370,8057,28,5501,3849,72.56,78.22,75.4,680206,26.99,7982,968,2481,-2881,715339,23827,1395545,36495,36751,61067,179652,384438,83966,59650,35689,302984,71737,53744,38058,38129,63116,181956,361948,85435,60448,37266,266357,75169,44997,74553,74880,124183,361608,746386,169401,120098,72955,569341,146906,98741,10.61,39.3,49.91,5.77,17.07,1.13,-0.03,1.1,0.394182918,0.571962925,0.177780007,-0.21,14.78,11.9,13.37,70.25,2.04
2022,29,15444,-413,15031,8206,28.18,5424,3882,72.72,78.34,75.54,687586,28.2,7918,975,2494,-2907,723158,23650,1410744,36376,36664,61042,179751,387235,84141,59763,35539,309056,71634,56016,37957,38048,63133,182194,365553,85604,60519,37084,272299,75097,46815,74333,74712,124175,361945,752788,169745,120282,72623,581355,146731,102831,10.9,38.65,49.55,5.82,16.76,1.09,-0.03,1.07,0.384477978,0.561264127,0.17678615,-0.21,14.36,11.58,13.01,69.17,2.02
2023,29,15116,-422,14694,8356,28.93,5331,3914,72.84,78.5,75.68,694786,29.51,7842,981,2511,-2933,730818,23472,1425604,36251,36549,60954,179777,389793,84321,59916,35278,314927,71595,58450,37858,37938,63070,182297,368996,85790,60658,36809,278126,75055,48761,74109,74487,124024,362074,758789,170111,120574,72087,593053,146650,107211,11.22,38.03,49.26,5.86,16.46,1.06,-0.03,1.03,0.373946762,0.550082632,0.176135869,-0.21,13.98,11.24,12.64,68.18,2
2024,29,14779,-435,14344,8519,29,5258,3948,72.98,78.64,75.82,701804,30.92,7785,986,2527,-2962,738322,23298,1440126,36132,36435,60797,179739,392128,84443,60081,35024,320587,71500,61046,37768,37837,62938,182317,372313,85953,60852,36538,283801,74937,50821,73900,74272,123735,362056,764441,170396,120933,71562,604388,146437,111867,11.58,37.44,49.01,5.92,16.18,1.03,-0.03,1,0.365106942,0.540577699,0.175470757,-0.21,13.58,10.91,12.28,67.24,1.98
2020,30,78245,-28083,50162,60646,29.39,52558,18905,71.51,77.63,74.57,4145434,35.1,37682,5698,-14876,-13207,4394428,138891,8539862,212684,211999,351421,1040584,2265342,484157,344735,210593,1887179,424127,413969,223929,222129,366236,1052005,2118974,493346,349239,218616,1651965,444611,341564,436613,434128,717657,2092589,4384316,977503,693974,429209,3539144,868738,755533,13.42,38.22,51.64,7.1,16.26,0.92,-0.33,0.59,0.6154432,0.441248348,-0.174194852,-0.15,13.13,10.71,11.95,73.67,2.04
2021,30,75412,-28352,47060,61522,30,52373,19113,71.64,77.76,74.7,4167557,36.44,37379,5755,-14994,-13358,4420912,136934,8588469,211828,211092,350059,1035250,2268639,481231,342264,208902,1911504,423050,427502,222993,221567,365734,1049554,2127234,491525,347358,216377,1673515,442892,351967,434821,432659,715793,2084804,4395873,972756,689622,425279,3585019,865942,779469,13.75,37.73,51.48,7.16,15.94,0.88,-0.33,0.55,0.609806008,0.435223088,-0.17458292,-0.16,12.79,10.44,11.64,72.72,2.02
2022,30,73157,-28576,44581,62359,30,52173,19299,71.79,77.9,74.85,4188253,37.87,37095,5801,-15078,-13498,4446046,135516,8634299,211036,210028,348638,1029524,2270811,478856,340246,206684,1934561,421958,441818,222126,220625,364892,1046141,2134720,490247,345980,213883,1694519,440900,362915,433162,430653,713530,2075665,4405531,969103,686226,420567,3629080,862858,804733,14.11,37.25,51.35,7.22,15.7,0.85,-0.33,0.52,0.604252876,0.42962376,-0.174629116,-0.16,12.4,10.13,11.3,72.11,2
2023,30,70410,-28769,41641,63188,30.45,51943,19442,71.93,78.06,75,4207556,39.41,36780,5836,-15163,-13606,4469852,133598,8677408,210272,209029,347176,1023758,2272097,476787,338640,204269,1956120,420457,456901,221255,219611,363725,1042279,2141722,489236,345122,211401,1714611,438341,374378,431527,428640,710901,2066037,4413819,966023,683762,415670,3670731,858798,831279,14.49,36.77,51.26,7.28,15.4,0.81,-0.33,0.48,0.598600412,0.423859291,-0.174741121,-0.16,12.03,9.83,10.96,71.25,1.98
2024,30,68167,-28976,39191,64059,31,51698,19588,72.08,78.21,75.15,4225497,41.04,36441,5869,-15257,-13719,4492328,132226,8717825,209631,208182,345614,1018047,2272634,474761,337329,201862,1976093,418294,472694,220394,218715,362282,1038260,2148443,488272,344705,208912,1733572,435218,386307,430025,426897,707896,2056307,4421077,963033,682034,410774,3709665,853512,859001,14.9,36.3,51.19,7.35,15.17,0.78,-0.33,0.45,0.593014886,0.418005638,-0.175009248,-0.16,11.65,9.52,10.61,70.69,1.97
2020,31,20503,4571,25074,14752,29.11,8528,1965,71.68,77.86,74.71,1112388,33.46,13973,1091,5445,-874,1146710,35255,2259098,55499,56586,94730,288246,619342,134500,96356,52967,492108,108243,97765,56920,58347,97608,295991,607539,138346,99085,54118,457802,109916,83986,112419,114933,192338,584237,1226881,272846,195441,107085,949910,218159,181751,11.85,35.41,47.25,6.53,15.61,0.91,0.2,1.11,0.377495797,0.618521197,0.2410254,-0.04,14.72,11.95,13.37,61.75,1.87
2021,31,19952,4655,24607,15038,29.89,8437,1996,71.81,77.98,74.84,1124026,34.76,13986,1102,5549,-894,1159917,34990,2283943,55286,56394,94446,287909,624446,134139,96087,52800,502747,108040,101524,56517,58039,97214,295459,613279,137846,98671,54202,468388,109454,86625,111803,114433,191660,583368,1237725,271985,194758,107002,971135,217494,188149,12.1,34.82,46.92,6.58,15.32,0.87,0.2,1.08,0.369405016,0.612362042,0.242957027,-0.04,14.35,11.66,13.04,60.96,1.85
2022,31,19503,4760,24263,15325,30,8360,2014,71.95,78.13,74.98,1135464,36.13,14019,1115,5659,-899,1172906,34828,2308370,55101,56151,94131,287321,629109,133856,95876,52578,513238,107867,105474,56160,57631,96716,294539,618577,137423,98338,54097,478952,109215,89409,111261,113782,190847,581860,1247686,271279,194214,106675,992190,217082,194883,12.38,34.27,46.65,6.64,15.09,0.84,0.21,1.05,0.362160312,0.607311653,0.245151341,-0.04,13.94,11.32,12.66,60.42,1.84
2023,31,18930,4857,23787,15614,30.47,8270,2030,72.09,78.27,75.13,1146696,37.57,14034,1123,5764,-907,1185699,34544,2332395,54942,55911,93803,286583,633396,133589,95697,52322,523502,107683,109636,55834,57200,96138,293375,623507,137007,98069,53841,489375,109138,92345,110776,113111,189941,579958,1256903,270596,193766,106163,1012877,216821,201981,12.68,33.75,46.43,6.69,14.81,0.81,0.21,1.02,0.35457116,0.601699112,0.247127952,-0.04,13.54,11,12.3,59.71,1.82
2024,31,18457,4954,23411,15899,31,8179,2039,72.25,78.43,75.28,1157731,39.09,14044,1128,5865,-911,1198261,34356,2355992,54820,55706,93445,285749,637353,133275,95536,52052,533492,107446,113982,55539,56810,95504,292084,628145,136546,97852,53570,499581,109067,95418,110359,112516,188949,577833,1265498,269821,193388,105622,1033073,216513,209400,13,33.25,46.25,6.75,14.58,0.78,0.21,0.99,0.347157376,0.5960971,0.248939725,-0.04,13.12,10.66,11.92,59.24,1.81
2020,32,20486,-8820,11666,10682,27,8196,9105,72.06,78.16,75.05,818789,28,5480,3001,-2716,-6104,847637,31168,1666426,45713,44518,73224,209131,434615,97768,69062,46678,336827,93521,70056,47608,46126,75458,210152,413207,98710,69378,48317,306000,97189,62150,93321,90644,148682,419283,847822,196478,138440,94995,642827,190710,132206,12.45,44.45,56.9,6.41,18.7,1.23,-0.53,0.7,0.49183102,0.328847486,-0.162983535,-0.37,15.59,12.61,14.14,72.48,2.35
2021,32,20039,-8723,11316,10813,27.09,7993,9198,72.17,78.29,75.17,824149,28.85,5429,3039,-2564,-6159,853762,30852,1677911,45806,44684,73509,209154,436650,97779,68954,46083,341909,93476,72063,47708,46365,75907,210577,415693,98843,69301,47764,310504,97095,63579,93514,91049,149416,419731,852343,196622,138255,93847,652413,190571,135642,12.65,43.85,56.5,6.44,18.39,1.19,-0.52,0.67,0.476366148,0.32355709,-0.152809058,-0.37,15.22,12.31,13.8,71.76,2.32
2022,32,19645,-8650,10995,10929,27.67,7795,9284,72.32,78.43,75.32,829337,29.78,5374,3055,-2421,-6229,859743,30574,1689080,45891,44805,73786,209209,438578,97975,68994,45559,346806,93216,74214,47804,46525,76311,210940,418114,99180,69394,47257,314932,96792,65128,93695,91330,150097,420149,856692,197155,138388,92816,661738,190008,139342,12.88,43.24,56.12,6.47,18.1,1.16,-0.51,0.65,0.461493831,0.318161366,-0.143332465,-0.37,14.79,11.97,13.41,71.14,2.3
2023,32,19235,-8575,10660,11055,28,7602,9365,72.45,78.56,75.45,834347,30.8,5317,3075,-2285,-6290,865546,30290,1699893,45956,44913,74042,209342,440426,98295,69166,45132,351465,92713,76494,47882,46653,76652,211320,420510,99660,69661,46813,319207,96273,66792,93838,91566,150694,420662,860936,197955,138827,91945,670672,188986,143286,13.13,42.63,55.76,6.5,17.82,1.13,-0.5,0.63,0.447204618,0.312784393,-0.134420225,-0.37,14.39,11.65,13.05,70.5,2.27
2024,32,18862,-8501,10361,11177,28,7412,9433,72.59,78.72,75.61,839194,31.89,5256,3088,-2156,-6345,871207,30039,1710401,46013,45024,74250,209563,442228,98670,69444,44715,355885,92060,78912,47933,46778,76916,211760,422923,100216,70078,46377,323288,95604,68575,93946,91802,151166,421323,865151,198886,139522,91092,679173,187664,147487,13.4,42.02,55.42,6.53,17.56,1.1,-0.5,0.61,0.433348671,0.307296359,-0.126052312,-0.37,13.97,11.29,12.66,69.94,2.25
